Subject,Cat #,Section,Code,Instructor
COMM,410,401,COMM 410 401,"Kenski,Kate M"
CTE,510,101,CTE 510 101,"Lewis,Matthew Benson"
CTE,510,401,CTE 510 401,"Lewis,Matthew Benson"
CTE,510,401,CTE 510 401,"Lewis,Matthew Benson"
CTE,520,101,CTE 520 101,"Lewis,Matthew Benson"
CTE,520,401,CTE 520 401,"Lewis,Matthew Benson"
CTE,520,401,CTE 520 401,"Lewis,Matthew Benson"
ECOL,170C1,101,ECOL 170C1 101,"Otto,Hans W"
ECOL,170C1,401,ECOL 170C1 401,"Otto,Hans W"
ECOL,170C3,101,ECOL 170C3 101,"Mangin,Katrina L"
ECOL,170C3,101A,ECOL 170C3 101A,"Mangin,Katrina L"
ECOL,170C3,401A,ECOL 170C3 401A,"Mangin,Katrina L"
ECOL,182L,101,ECOL 182L 101,"Ruboyianes,Ryan S"
ECOL,182L,102,ECOL 182L 102,"Ruboyianes,Ryan S"
ECOL,182L,401,ECOL 182L 401,"Ruboyianes,Ryan S"
ECOL,182L,402,ECOL 182L 402,"Ruboyianes,Ryan S"
ECOL,182R,101,ECOL 182R 101,-
ECOL,182R,401,ECOL 182R 401,-
ECOL,220,101,ECOL 220 101,"Hackett,Jeremiah D"
ECOL,220,401,ECOL 220 401,"Hackett,Jeremiah D"
ECOL,223,101,ECOL 223 101,"Celaya,Romeo Brandon"
ECOL,223,401,ECOL 223 401,"Celaya,Romeo Brandon"
EDL,396A,101,EDL 396A 101,"Hill,Jessica C"
EDL,396A,101,EDL 396A 101,"Parkman,Amanda Lee"
EDL,396A,102,EDL 396A 102,"Cantor,Mary Catherine"
EDL,396A,102,EDL 396A 102,"Hill,Jessica C"
EDL,396A,401,EDL 396A 401,"Hill,Jessica C"
EDL,396A,401,EDL 396A 401,"Parkman,Amanda Lee"
EDL,396A,402,EDL 396A 402,"Cantor,Mary Catherine"
EDL,396A,402,EDL 396A 402,"Hill,Jessica C"
EDP,301,101,EDP 301 101,"Pope,Elizabeth J"
EDP,301,102,EDP 301 102,"Pope,Elizabeth J"
EDP,301,401,EDP 301 401,"Pope,Elizabeth J"
EDP,314,101,EDP 314 101,"Marx,Ronald W"
EDP,314,401,EDP 314 401,"Marx,Ronald W"
EDP,410,101,EDP 410 101,"Tullis,Jonathan G"
EDP,410,401,EDP 410 401,"Tullis,Jonathan G"
EHS,375,101,EHS 375 101,"Gabriel,Alejandra"
EHS,375,403,EHS 375 403,"Gabriel,Alejandra"
EHS,425,101,EHS 425 101,"Arora,Mona"
EHS,425,403,EHS 425 403,"Arora,Mona"
EMD,350,1,EMD 350 1,"Gaither,Joshua B"
EMD,350,1,EMD 350 1,"Waters,Kristina E"
EMD,350,401,EMD 350 401,"Gaither,Joshua B"
EMD,350,401,EMD 350 401,"Waters,Kristina E"
EMD,420,1,EMD 420 1,"Gaither,Joshua B"
EMD,420,1,EMD 420 1,"Waters,Kristina E"
EMD,420,401,EMD 420 401,"Gaither,Joshua B"
EMD,420,401,EMD 420 401,"Waters,Kristina E"
